PET,TEXT,text_name,condition,domain,Sent_id,keystrokes,time,num_major,num_minor,num_characters,highlight_ratio,prc_sugg_accepted,tags_edited,How difficult to translate was the source text?,How good was the quality of MT?,How useful were the error annotations? ,How accurate were the error annotations? ,How useful were the translation suggestions? ,How accurate were the translation suggestions? 
6,Text 4,doc13,2,medical,4,24,116.33900000000001,0,5,106,0.4717,N/A,'en'met''; ''zonder' co'; 'management voor'; 'at'; 'ische patiënten',Neutral,Good,Somewhat not useful,Not accurate nor inaccurate,nan,nan
6,Text 4,doc13,2,medical,5,7,49.677,0,4,287,0.1429,N/A,'overbrengbaarheid'; 'meer verbeterd',Neutral,Good,Somewhat not useful,Not accurate nor inaccurate,nan,nan
6,Text 4,doc13,2,medical,6,13,80.461,8,0,229,0.5022,N/A,'Er werden significante verschillen gevonden'; 'tot belangrijkste diagnoses',Neutral,Good,Somewhat not useful,Not accurate nor inaccurate,nan,nan
6,Text 4,doc13,2,medical,7,1,313.029,0,4,297,0.1987,N/A,'hogeriatrische co',Neutral,Good,Somewhat not useful,Not accurate nor inaccurate,nan,nan
6,Text 4,doc13,2,medical,8,14,20.749000000000002,0,2,168,0.1548,N/A,'medebeheer',Neutral,Good,Somewhat not useful,Not accurate nor inaccurate,nan,nan
6,Text 5,news_scotsman.87462,3,news,1,77,116.739,0,2,111,0.2162,N/A,"'omworstelaars'; 'steak pies,'",Somewhat easy,Fair,Somewhat not useful,Somewhat accurate,nan,nan
6,Text 5,news_scotsman.87462,3,news,2,46,93.78699999999999,0,5,206,0.1553,N/A,"'bakkers'; 'hoek,'",Somewhat easy,Fair,Somewhat not useful,Somewhat accurate,nan,nan
6,Text 5,news_scotsman.87462,3,news,3,54,137.362,0,5,222,0.2883,N/A,'keten'; 'er’'; ' '; 'zijn''; 'de winkelketen een stabielere kostenbasis verwacht',Somewhat easy,Fair,Somewhat not useful,Somewhat accurate,nan,nan
6,Text 5,news_scotsman.87462,3,news,4,56,74.235,0,5,133,0.3609,N/A,"'De'; '250-onderneming'; 'winkels op een netto basis,'",Somewhat easy,Fair,Somewhat not useful,Somewhat accurate,nan,nan
6,Text 5,news_scotsman.87462,3,news,5,30,75.071,0,2,118,0.1186,N/A,'op',Somewhat easy,Fair,Somewhat not useful,Somewhat accurate,nan,nan
